,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
171,ARI,11/4/07,39,78,Sun,8,9,@,TAM,L 10-17,3.5,did not cover,39,under
172,ARI,10/21/07,36,75,Sun,7,7,@,WAS,L 19-21,8,covered,36,over
173,ARI,9/23/07,35.5,75,Sun,3,3,@,BAL,L 23-26,7,covered,35.5,over
174,ARI,9/10/07,46.5,64,Mon,1,1,@,SFO,L 17-20,3,push,46.5,under
175,ARI,12/31/06,44,57,Sun,16,17,@,SDG,L 20-27,14,covered,44,over
176,ARI,12/24/06,45,50,Sun,15,16,@,SFO,W 26-20,4,covered,45,over
177,ARI,12/17/06,44,60,Sun,14,15,,DEN,L 20-37,2.5,did not cover,44,over
178,ARI,11/12/06,43.5,75,Sun,9,10,,DAL,L 10-27,6.5,did not cover,43.5,under
179,ARI,10/29/06,45.5,45,Sun,8,8,@,GNB,L 14-31,4,did not cover,45.5,under
180,ARI,10/22/06,40,67,Sun,7,7,@,OAK,L 9-22,-3,did not cover,40,under
181,ARI,10/16/06,40.5,81,Mon,6,6,,CHI,L 23-24,13,covered,40.5,over
182,ARI,9/17/06,48,61,Sun,2,2,@,SEA,L 10-21,7,did not cover,48,under
183,ARI,12/24/05,39.5,75,Sat,15,16,,PHI,W 27-21,-1,covered,39.5,over
184,ARI,12/11/05,41.5,66,Sun,13,14,,WAS,L 13-17,3,did not cover,41.5,under
185,ARI,12/4/05,43.5,54,Sun,12,13,@,SFO,W 17-10,-3,covered,43.5,under
186,ARI,11/27/05,41.5,58,Sun,11,12,,JAX,L 17-24,3.5,did not cover,41.5,under
187,ARI,11/6/05,44,79,Sun,8,9,,SEA,L 19-33,4.5,did not cover,44,over
188,ARI,10/30/05,41,71,Sun,7,8,@,DAL,L 13-34,7,did not cover,41,over
189,ARI,10/23/05,45,83,Sun,6,7,,TEN,W 20-10,-3,covered,45,under
190,ARI,10/9/05,42,81,Sun,5,5,,CAR,L 20-24,3,did not cover,42,over
191,ARI,10/2/05,42,66,Sun,4,4,,SFO,W 31-14,-3,covered,42,over
192,ARI,9/25/05,42,60,Sun,3,3,@,SEA,L 12-37,6.5,did not cover,42,over
193,ARI,9/18/05,44,94,Sun,2,2,,STL,L 12-17,1,did not cover,44,under
