Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2022,MIN,0.765,2022-11-06,8,9,early,260,-3,43.5,71,Sun,away,WAS,W 20-17,-3,push,43.5,under,0
2022,MIN,0.765,2022-10-30,7,8,early,30,-3.5,48.5,56,Sun,home,ARI,W 34-26,-3.5,covered,48.5,over,1
2022,MIN,0.765,2022-10-16,6,6,early,327,-3,45.5,86,Sun,away,MIA,W 24-16,-3,covered,45.5,under,0
2022,MIN,0.765,2022-10-09,5,5,early,356,-7.5,44,59,Sun,home,CHI,W 29-22,-7.5,did not cover,44,over,0
2022,MIN,0.765,2022-10-02,4,4,early,389,-3.5,42,64,Sun,away,NOR,W 28-25,-3.5,did not cover,42,over,0
2022,MIN,0.765,2022-09-25,3,3,early,421,-6,52.5,65,Sun,home,DET,W 28-24,-6,did not cover,52.5,under,0
2022,MIN,0.765,2023-01-01,16,17,afternoon,56,3,47.5,39,Sun,away,GNB,L 17-41,3,did not cover,47.5,over,0
2022,MIN,0.765,2022-11-20,10,11,afternoon,214,1.5,48.5,29,Sun,home,DAL,L 3-40,1.5,did not cover,48.5,under,0
2022,MIN,0.765,2022-09-11,1,1,afternoon,477,-2.5,46,73,Sun,home,GNB,W 23-7,-2.5,covered,46,under,0
2022,MIN,0.765,2022-11-24,11,12,night,195,-2.5,42.5,36,Thu,home,NWE,W 33-26,-2.5,covered,42.5,over,0
2022,MIN,0.765,2022-09-19,2,2,night,438,2.5,50.5,76,Mon,away,PHI,L 7-24,2.5,did not cover,50.5,under,0
2022,SFO,0.765,2022-10-16,6,6,early,337,-4.5,45,77,Sun,away,ATL,L 14-28,-4.5,did not cover,45,under,0
2022,SFO,0.765,2022-09-11,1,1,early,488,-6,38,69,Sun,away,CHI,L 10-19,-6,did not cover,38,under,0
2022,SFO,0.765,2023-01-08,17,18,afternoon,22,-14,39.5,57,Sun,home,ARI,W 38-13,-14,covered,39.5,over,0
2022,SFO,0.765,2023-01-01,16,17,afternoon,50,-9.5,42.5,59,Sun,away,LVR,W 37-34 (OT),-9.5,did not cover,42.5,over,0
2022,SFO,0.765,2022-12-24,15,16,afternoon,73,-6.5,37.5,54,Sat,home,WAS,W 37-20,-6.5,covered,37.5,over,0
2022,SFO,0.765,2022-12-11,13,14,afternoon,137,-3.5,37.5,54,Sun,home,TAM,W 35-7,-3.5,covered,37.5,over,0
2022,SFO,0.765,2022-12-04,12,13,afternoon,151,-4.5,45.5,58,Sun,home,MIA,W 33-17,-4.5,covered,45.5,over,0
2022,SFO,0.765,2022-11-27,11,12,afternoon,189,-9,43,59,Sun,home,NOR,W 13-0,-9,covered,43,under,0
2022,SFO,0.765,2022-10-30,8,8,afternoon,291,2.5,42,75,Sun,away,LAR,W 31-14,2.5,covered,42,over,0
2022,SFO,0.765,2022-10-23,7,7,afternoon,310,1,49,64,Sun,home,KAN,L 23-44,1,did not cover,49,over,0
2022,SFO,0.765,2022-10-09,5,5,afternoon,368,-6.5,39.5,68,Sun,away,CAR,W 37-15,-6.5,covered,39.5,over,0
